feature,baseline_window,recent_window,psi,status
utilization,2024-01 to 2024-03,2025-11 to 2026-01,1.3553420473339082,REVIEW
payment_to_balance_ratio,2024-01 to 2024-03,2025-11 to 2026-01,0.42111543250817113,REVIEW
bureau_stress_score,2024-01 to 2024-03,2025-11 to 2026-01,0.729908895021792,REVIEW
credit_health_shift,2024-01 to 2024-03,2025-11 to 2026-01,1.5255146377816264,REVIEW
residual_corrected_prob,2024-01 to 2024-03,2025-11 to 2026-01,0.03689164718078681,PASS
balance,2024-01 to 2024-03,2025-11 to 2026-01,0.4567656950283122,REVIEW
