model,roc_auc,pr_auc,brier,ece,precision_at_top10pct,default_capture_at_top10pct,mae
M0 Logistic Regression,0.6916848941605034,0.3321506387765341,0.2204540874746134,0.2757169245398072,0.3916666666666666,0.214123006833713,0.4377282103297902
M1 Calibrated Logistic Regression,0.6916848941605034,0.3321506387765341,0.1387637654346451,0.0214652429052206,0.3916666666666666,0.214123006833713,0.2815145403541551
M2 RandomForest,0.6869409057486593,0.332269996682812,0.1390035939504424,0.0229557579705567,0.3916666666666666,0.214123006833713,0.2798345452286166
M3 Static Roll-Rate Markov Baseline,0.9795236272517195,0.8823442993153079,0.006198246672923461,0.0,0.38108,0.9652482269503546,0.012396493345846925
M4 Segment-Conditioned Roll-Rate Baseline,0.9816524445914997,0.8958148593561228,0.006190029345156972,0.0,0.38184,0.9671732522796352,0.012380058690313944
