fico_band,months_observed,min_default_rate,max_default_rate,avg_default_rate,avg_score,total_expected_loss_proxy,default_rate_range,stability_status
near_prime,25,0.0,0.055740125507567365,0.03880398671096345,0.03880398671096337,4069476.275001699,0.055740125507567365,WATCH
prime,25,0.0,0.053871142393069844,0.03920952896589063,0.03920952896589057,8582321.479280626,0.053871142393069844,WATCH
subprime,25,0.0,0.07084468664850137,0.0467574931880109,0.046757493188010896,1775279.563766475,0.07084468664850137,WATCH
super_prime,25,0.0,0.043132803632236094,0.033507377979568674,0.03350737797956862,5492249.704331594,0.043132803632236094,PASS
