strategy,review_queue_size,review_rate,review_precision,risk_capture_recall,risk_review_f1,exposure_weighted_recall,false_safe_rate,over_review_rate
baseline_pd_threshold,2552,0.2552,0.21473354231974923,0.9945553539019963,0.353206574282952,0.9715896758240848,0.0054446460980036296,0.7852664576802508
inflated_risk_boundary,3485,0.3485,0.157532281205165,0.9963702359346642,0.2720515361744301,0.9905596605100107,0.003629764065335753,0.842467718794835
asymmetric_risk_boundary_correction,1000,0.1,0.548,0.9945553539019963,0.706640876853643,0.9715896758240848,0.0054446460980036296,0.452
