scenario,avg_predicted_severe_dq_rate,expected_severe_dq_accounts,expected_loss_proxy,avg_utilization,avg_payment_to_balance_ratio,avg_bureau_stress_score,unemployment_shock_pp,core_scenario_monotonicity_pass
baseline,0.05632442382441463,563.2442382441463,788862.9891248211,0.59780014,0.23779241,0.37984942,0.0,True
mild_recession,0.08084251906036702,808.4251906036702,1818514.723410336,0.627690147,0.2259027895,0.41783436199999996,1.0,True
severe_recession,0.11626756873178187,1162.6756873178188,3307995.253832546,0.6695361568,0.214013169,0.47481177500000005,2.5,True
high_utilization_stress,0.08001048379036703,800.1048379036703,1828238.5245130602,0.7054041651999999,0.2282807136,0.41783436199999996,0.5,True
payment_deterioration_stress,0.08285309819486703,828.5309819486703,1899063.2070676596,0.627690147,0.1949897762,0.43682683299999997,0.8,True
combined_tail_stress,0.13998592036996282,1399.8592036996283,4358872.215748451,0.7293161708,0.190233928,0.531789188,3.2,True
